"bateria","Tem_Instr_Violao_Viola","Tem_Instr_Guitarra","Tem_Instr_Cavaco","Tem_Instr_Sintetizador_Teclado","Tem_Instr_Piano","Tem_Instr_Metais","Tem_Instr_Madeiras","Tem_Instr_Cordas","BPM","VolMedio","PctCantada","PctRap","duracao","ano_lancamento","modo","gostou","id_cliente"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,115.709599243296,-10.4670340170628,39.8510867610866,0,414690,1989,"F",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,91.0429648366621,-9.10585100133657,77.5341732292443,0,276189,2020,"A#",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126.138297103614,-5.8255924436928,60.3903259129919,44.8692537905091,131753,2004,"A",TRUE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,110.466880876177,-7.28919673762108,61.8141363778703,0,165921,2020,"G",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,124.873582969689,-6.1999409323739,62.718360306217,0,237848,1974,"a",TRUE,"#ID9155"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,97.0750826672049,-7.70474925712221,82.5888706736026,0,326945,2015,"A#",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,151.293440953168,-10.4297921180949,70.1896154318127,0,234605,1985,"c",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,112.604082581229,-6.82846517001962,61.0145843568895,0,128493,2018,"c#",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,131.792830369471,-7.48656893792267,62.3959105019124,51.8122048935813,191070,1970,"d",TRUE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,102.915776836154,-7.00417292752002,18.4585585692721,65.8211335589201,226912,2018,"d#",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,80.2722844616994,-10.9916944518506,73.8721084246405,0,150791,2021,"d",TRUE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,117.42411211169,-13.2708804955784,37.4836762500669,0,390211,2006,"F",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,81.8637683373296,-6.39590921784282,74.9894142785754,0,152145,2015,"F#",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,130.186811404043,-6.5767832882588,55.9703692235013,0,129445,2019,"e",TRUE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,96.0073636903192,-7.40831547876931,16.2266212904427,52.4796776390783,267978,2017,"N/A",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,88.8958635583068,-5.64086736274967,60.8484246361612,0,163044,2017,"c",FALSE,"#ID9155"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,107.757603151043,-6.79905381201375,81.5101680377254,23.1532835583674,268259,1988,"g",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,102.298309803085,-8.12027795532442,81.590570626708,0,177779,2010,"g",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,131.779624779969,-6.60473455169328,60.0637238017588,0,188749,2021,"a",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,64.5894308547605,-25.2175458328548,0,0,148346,2009,"N/A",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,94.5493436496609,-7.99410091799503,71.8967574850975,0,191281,2014,"F",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,115.085654998595,-8.67034708435794,73.196003363277,13.8978237677297,318634,2011,"D",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,158.637090850133,-7.91457902575757,64.9437199977451,0,212300,2018,"A",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,87.2069665764649,-6.12730740322204,75.7741525066021,0,185447,1998,"N/A",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,75.0847564856009,-8.61288104398398,85.9024738280902,0,234571,2005,"e",FALSE,"#ID9155"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,105.519494150674,-8.75108423504556,18.6376698734057,53.1797363146578,274750,2011,"g",TRUE,"#ID9155"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,84.8282413725011,-14.4901257246689,78.5798163872794,0,121575,2021,"G",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,122.745915392854,-14.2478983898457,31.6062270228115,0,479372,1942,"F",TRUE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,127.413634815001,-6.52581480144176,82.5612319879734,0,322254,1997,"b",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,116.518820259114,-6.13249403741054,9.76325661114109,54.6852672923879,339948,2015,"N/A",TRUE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,84.48498265558,-6.85496685144955,23.4044410556085,90.0384499299746,159477,2015,"d",TRUE,"#ID9155"
"Nenhuma",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,113.391611845718,-6.24192544163517,83.1388869451448,0,239054,2011,"E",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,88.9631907586394,-4.63910736795458,78.8676311914399,0,185203,1960,"a#",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,125.265795039216,-6.21411147811042,75.1564567668163,14.4072097260989,266893,2009,"b",FALSE,"#ID9155"
"Nenhuma",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,95.6356560308287,-7.00211216122862,72.4114214151054,0,233684,2015,"G",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,114.462507635683,-9.11342275511706,53.0670636049189,0,297867,1988,"N/A",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,169.383660436045,-7.58187758235473,59.1699432572983,21.7234353756501,171635,2021,"b",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104.460921136865,-7.16990161498108,72.9266614532933,0,164016,2014,"F",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,97.4667736482138,-8.884782730357,78.780268155433,0,177286,2014,"A",FALSE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,117.682980534676,-6.36667759966391,74.043944860033,0,234157,1977,"G",TRUE,"#ID9155"
"Acústica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,105.7070631349,-9.06736498940647,69.2530812893167,40.8345464600927,185909,1997,"A",TRUE,"#ID9155"
"Nenhuma",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,125.562508356873,-6.7723787261015,77.0791722134202,0,186411,2005,"d",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,97.0841168689169,-7.40461090740375,78.2812579772013,23.138106073115,236498,2016,"c",FALSE,"#ID9155"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,123.767214546441,-11.527203184286,39.5044263738166,0,810202,1963,"C#",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,92.5910605050897,-10.1945727437163,77.7669740027048,0,178801,2017,"G",FALSE,"#ID9155"
"Nenhuma",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,96.5374267717587,-6.6189503090315,86.2179047278427,0,291773,2016,"A",FALSE,"#ID9155"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,70.7163695103835,-8.71461622129678,18.659280937325,64.2131499781905,185708,2000,"e",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72.7012241814777,-6.82753146269143,72.7486517632293,0,205928,2011,"G",FALSE,"#ID9155"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,122.748347253058,-6.27560432961398,56.8629420767058,0,213276,2020,"c#",FALSE,"#ID9155"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85.9745488139798,-6.99268036340398,75.7262371290679,0,225446,2015,"G#",TRUE,"#ID9155"
